Organism,Lineage
Gibberella fujikuroi,"Fusarium fujikuroi species complex, Fusarium, Nectriaceae, Hypocreales, Hypocreomycetidae, Sordariomycetes, sordariomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Leptospira borgpetersenii serovar Hardjo-bovis (strain JB197),"Leptospira borgpetersenii, Leptospira, Leptospiraceae, Leptospirales, Spirochaetia, Spirochaetes, Bacteria, cellular organisms"
Methanocorpusculum labreanum (strain ATCC 43576 / DSM 4855 / Z),"Methanocorpusculum, Methanocorpusculaceae, Methanomicrobiales, Methanomicrobia, Stenosarchaea group, Euryarchaeota, Archaea, cellular organisms"
Nicotiana tabacum,"Nicotiana, Nicotianeae, Nicotianoideae, Solanaceae, Solanales, lamiids, asterids, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Helicobacter pylori (strain ATCC 700392 / 26695),"Helicobacter, Helicobacteraceae, Campylobacterales, Epsilonproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms"
Capsicum annuum,"Capsicum, Capsiceae, Solanoideae, Solanaceae, Solanales, lamiids, asterids, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Epstein-Barr virus (strain Cao),"Lymphocryptovirus, Gammaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Roseiflexus sp. (strain RS-1),"environmental samples, Roseiflexus, Roseiflexaceae, Roseiflexineae, Chloroflexales, Chloroflexia, Chloroflexi, Terrabacteria group, Bacteria, cellular organisms"
Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4),"Zymomonas mobilis, Zymomonas, Zymomonadaceae, Sphingomonadales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01),"Photorhabdus luminescens subsp. laumondii, Photorhabdus laumondii, Photorhabdus, Morganellaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Anopheles gambiae,"gambiae species complex, Pyretophorus, Cellia, Anopheles, Anophelinae, Culicidae, Culicoidea, Culicomorpha, Nematocera, Diptera, Endopterygota, Neoptera, Pterygota, Dicondylia, Insecta, Hexapoda, Pancrustacea, Mandibulata, Arthropoda, Panarthropoda, Ecdysozoa, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Aspergillus versicolor,"Aspergillus subgen. Nidulantes, Aspergillus, Aspergillaceae, Eurotiales, Eurotiomycetidae, Eurotiomycetes, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Streptomyces lividans,"Streptomyces, Streptomycetaceae, Streptomycetales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Hepatitis C virus (isolate Glasgow),"hepatitis C virus genotype 1a, Hepacivirus C, Hepacivirus, Flaviviridae, Amarillovirales, Flasuviricetes, Kitrinoviricota, Orthornavirae, Riboviria, Viruses"
Burkholderia cenocepacia (strain MC0-3),"Burkholderia cepacia complex, Burkholderia, Burkholderiaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Azoarcus sp. (strain BH72),"unclassified Azoarcus, Azoarcus, Zoogloeaceae, Rhodocyclales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Aspergillus parasiticus (strain ATCC 56775 / NRRL 5862 / SRRC 143 / SU-1),"Aspergillus, Aspergillaceae, Eurotiales, Eurotiomycetidae, Eurotiomycetes, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Providencia stuartii,"Providencia, Morganellaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Banana bunchy top virus (isolate Autralia),"Babuvirus, Nanoviridae, Mulpavirales, Arfiviricetes, Cressdnaviricota, Shotokuvirae, Monodnaviria, Viruses"
Heterololigo bleekeri,"Heterololigo, Loliginidae, Myopsina, Teuthida, Decapodiformes, Coleoidea, Cephalopoda, Mollusca, Lophotrochozoa, Spiralia, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Clostridium pasteurianum,"Clostridium, Clostridiaceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Anthoceros angustus,"Anthoceros, Anthocerotaceae, Anthocerotales, Anthocerotidae, Anthocerotopsida, Anthocerotophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Halomonas elongata (strain ATCC 33173 / DSM 2581 / NBRC 15536 / NCIMB 2198 / 1H9),"Halomonas, Halomonadaceae, Oceanospirillales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Staphylococcus aureus (strain N315),"Staphylococcus, Staphylococcaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Methanosaeta harundinacea (strain 6Ac),"Methanothrix harundinacea, Methanothrix, Methanotrichaceae, Methanotrichales, Methanomicrobia, Stenosarchaea group, Euryarchaeota, Archaea, cellular organisms"
Talaromyces islandicus,"Talaromyces sect. Islandici, Talaromyces, Trichocomaceae, Eurotiales, Eurotiomycetidae, Eurotiomycetes, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Synechococcus sp. (strain ATCC 27264 / PCC 7002 / PR-6),"unclassified Synechococcus, Synechococcus, Synechococcaceae, Synechococcales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Frog virus 3 (isolate Goorha),"Ranavirus, Alphairidovirinae, Iridoviridae, Pimascovirales, Megaviricetes, Nucleocytoviricota, Bamfordvirae, Varidnaviria, Viruses"
Idiomarina loihiensis (strain ATCC BAA-735 / DSM 15497 / L2-TR),"Idiomarina, Idiomarinaceae, Alteromonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Bacillus cytotoxicus (strain DSM 22905 / CIP 110041 / 391-98 / NVH 391-98),"Bacillus cytotoxicus, Bacillus cereus group, Bacillus, Bacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090),"Neisseria, Neisseriaceae, Neisseriales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Streptomyces peucetius,"Streptomyces, Streptomycetaceae, Streptomycetales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Stachybotrys chartarum (strain CBS 109288 / IBT 7711),"Stachybotrys, Stachybotryaceae, Hypocreales, Hypocreomycetidae, Sordariomycetes, sordariomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Azobacteroides pseudotrichonymphae genomovar. CFP2,"Candidatus Azobacteroides pseudotrichonymphae, Candidatus Azobacteroides, Bacteroidales incertae sedis, Bacteroidales, Bacteroidia, Bacteroidetes, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms"
Piper cenocladum,"Piper, Piperaceae, Piperales, Magnoliidae, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Human herpesvirus 2 (strain HG52),"Simplexvirus, Alphaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Phocaeicola vulgatus (strain ATCC 8482 / DSM 1447 / JCM 5826 / CCUG 4940 / NBRC 14291 / NCTC 11154),"Phocaeicola, Bacteroidaceae, Bacteroidales, Bacteroidia, Bacteroidetes, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms"
Carboxydothermus hydrogenoformans (strain ATCC BAA-161 / DSM 6008 / Z-2901),"Carboxydothermus, Thermoanaerobacteraceae, Thermoanaerobacterales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Chelativorans sp. (strain BNC1),"unclassified Chelativorans, Chelativorans, Phyllobacteriaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Blochmannia floridanus,"Candidatus Blochmannia, ant endosymbionts, ant, tsetse, mealybug, aphid, etc. endosymbionts, Enterobacteriaceae incertae sedis, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Enterobacteria phage I2-2,"Lineavirus, Inoviridae, Tubulavirales, Faserviricetes, Hofneiviricota, Loebvirae, Monodnaviria, Viruses"
Mycoplasmopsis pulmonis (strain UAB CTIP),"Mycoplasmopsis, Mycoplasmataceae, Mycoplasmatales, Mollicutes, Tenericutes, Terrabacteria group, Bacteria, cellular organisms"
Escherichia coli O127:H6 (strain E2348/69 / EPEC),"Escherichia coli, Escherichia, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Welwitschia mirabilis,"Welwitschia, Welwitschiaceae, Welwitschiales, Gnetidae, Gnetopsida, Acrogymnospermae, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
African swine fever virus (isolate Tick/Malawi/Lil 20-1/1983),"Asfivirus, Asfarviridae, Asfuvirales, Pokkesviricetes, Nucleocytoviricota, Bamfordvirae, Varidnaviria, Viruses"
Pseudomonas putida (strain ATCC 700007 / DSM 6899 / BCRC 17059 / F1),"Pseudomonas putida group, Pseudomonas, Pseudomonadaceae, Pseudomonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Endomicrobium trichonymphae,"Endomicrobium, Endomicrobiaceae, Endomicrobiales, Endomicrobia, Elusimicrobia, Bacteria, cellular organisms"
Cryphonectria parasitica mycoreovirus 1 (strain 9B21),"Mycoreovirus 1, Mycoreovirus, Spinareovirinae, Reoviridae, Reovirales, Resentoviricetes, Duplornaviricota, Orthornavirae, Riboviria, Viruses"
Glycyrrhiza echinata,"Glycyrrhiza, Galegeae, IRL clade, Hologalegina, NPAAA clade, 50 kb inversion clade, Papilionoideae, Fabaceae, Fabales, fabids, rosids, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Reston ebolavirus (strain Reston-89),"Reston ebolavirus, Ebolavirus, Filoviridae, Mononegavirales, Monjiviricetes, Haploviricotina, Negarnaviricota, Orthornavirae, Riboviria, Viruses"
Friend murine leukemia virus (isolate 57),"Murine leukemia virus, Gammaretrovirus, Orthoretrovirinae, Retroviridae, Ortervirales, Revtraviricetes, Artverviricota, Pararnavirae, Riboviria, Viruses"
Bovine herpesvirus 1.1 (strain P8-2),"Bovine herpesvirus type 1.1, Bovine alphaherpesvirus 1, Varicellovirus, Alphaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Cenarchaeum symbiosum (strain A),"Cenarchaeum, Cenarchaeaceae, Cenarchaeales, Thaumarchaeota, TACK group, Archaea, cellular organisms"
Trypanosoma cruzi (strain CL Brener),"Schizotrypanum, Trypanosoma, Trypanosomatidae, Trypanosomatida, Metakinetoplastina, Kinetoplastea, Euglenozoa, Discoba, Eukaryota, cellular organisms"
Novosphingobium aromaticivorans (strain ATCC 700278 / DSM 12444 / CCUG 56034 / CIP 105152 / NBRC 16084 / F199),"Novosphingobium, Sphingomonadaceae, Sphingomonadales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Breda virus 1,"Breda virus, Bovine torovirus, Renitovirus, Torovirus, Torovirinae, Tobaniviridae, Tornidovirineae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae, Riboviria, Viruses"
Rickettsia felis (strain ATCC VR-1525 / URRWXCal2),"spotted fever group, Rickettsia, Rickettsieae, Rickettsiaceae, Rickettsiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Brassica napus,"Brassica, Brassiceae, Brassicaceae, Brassicales, malvids, rosids, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Streptococcus agalactiae serotype V (strain ATCC BAA-611 / 2603 V/R),"Streptococcus agalactiae serogroup V, Streptococcus agalactiae, Streptococcus, Streptococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Mycoplasma hominis (strain ATCC 23114 / NBRC 14850 / NCTC 10111 / PG21),"Mycoplasma, Mycoplasmataceae, Mycoplasmatales, Mollicutes, Tenericutes, Terrabacteria group, Bacteria, cellular organisms"
Enterococcus faecalis (strain 62),"Enterococcus, Enterococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Pelomedusa subrufa,"Pelomedusa, Pelomedusidae, Pleurodira, Testudines, Testudinata, Archelosauria, Sauria, Sauropsida, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Tetraodon nigroviridis,"Tetraodon, Tetraodontidae, Tetradontoidea, Tetraodontoidei, Tetraodontiformes, Eupercaria, Percomorphaceae, Euacanthomorphacea, Acanthomorphata, Ctenosquamata, Eurypterygia, Neoteleostei, Euteleosteomorpha, Clupeocephala, Osteoglossocephalai, Teleostei, Neopterygii, Actinopteri, Actinopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Bacteroides fragilis (strain YCH46),"Bacteroides, Bacteroidaceae, Bacteroidales, Bacteroidia, Bacteroidetes, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms"
Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1),"Sclerotinia, Sclerotiniaceae, Helotiales, Leotiomycetes, sordariomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25),"Xanthomonas campestris, Xanthomonas, Xanthomonadaceae, Xanthomonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Staphylococcus aureus (strain JH9),"Staphylococcus, Staphylococcaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Beauveria bassiana,"Beauveria, Cordycipitaceae, Hypocreales, Hypocreomycetidae, Sordariomycetes, sordariomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Xanthomonas oryzae pv. oryzae (strain MAFF 311018),"Xanthomonas oryzae, Xanthomonas, Xanthomonadaceae, Xanthomonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Vaccinia virus (strain IHD-J),"Orthopoxvirus, Chordopoxvirinae, Poxviridae, Chitovirales, Pokkesviricetes, Nucleocytoviricota, Bamfordvirae, Varidnaviria, Viruses"
Aerococcus urinae (strain ACS-120-V-Col10a),"Aerococcus, Aerococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Mannheimia succiniciproducens (strain MBEL55E),"Basfia, Pasteurellaceae, Pasteurellales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Bovine herpesvirus 4 (strain DN-599),"Bovine herpesvirus 4, Rhadinovirus, Gammaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Phaeodactylum tricornutum (strain CCAP 1055/1),"Phaeodactylum, Phaeodactylaceae, Naviculales, Bacillariophycidae, Bacillariophyceae, Bacillariophyta, Ochrophyta, Stramenopiles, Sar, Eukaryota, cellular organisms"
Sonchus yellow net virus,"Nucleorhabdovirus, Rhabdoviridae, Mononegavirales, Monjiviricetes, Haploviricotina, Negarnaviricota, Orthornavirae, Riboviria, Viruses"
Synechococcus sp. (strain CC9311),"unclassified Synechococcus, Synechococcus, Synechococcaceae, Synechococcales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Methanococcus vannielii (strain ATCC 35089 / DSM 1224 / JCM 13029 / OCM 148 / SB),"Methanococcus, Methanococcaceae, Methanococcales, Methanococci, Methanomada group, Euryarchaeota, Archaea, cellular organisms"
Streptococcus phage Cp-1,"Streptococcus virus Cp1, Cepunavirus, Salasmaviridae, Caudovirales, Caudoviricetes, Uroviricota, Heunggongvirae, Duplodnaviria, Viruses"
Corynebacterium jeikeium (strain K411),"Corynebacterium, Corynebacteriaceae, Corynebacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Rhizobium etli (strain CFN 42 / ATCC 51251),"Rhizobium, Rhizobium/Agrobacterium group, Rhizobiaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Haloarcula japonica (strain ATCC 49778 / DSM 6131 / JCM 7785 / NBRC 101032 / NCIMB 13157 / TR-1),"Haloarcula, Haloarculaceae, Halobacteriales, Halobacteria, Stenosarchaea group, Euryarchaeota, Archaea, cellular organisms"
Streptococcus agalactiae,"Streptococcus, Streptococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Acidovorax sp. (strain JS42),"unclassified Acidovorax, Acidovorax, Comamonadaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Lettuce infectious yellows virus (isolate United States/92),"Crinivirus, Closteroviridae, Martellivirales, Alsuviricetes, Kitrinoviricota, Orthornavirae, Riboviria, Viruses"
Wolbachia sp. subsp. Brugia malayi (strain TRS),"Wolbachia endosymbiont of Brugia malayi, unclassified Wolbachia, Wolbachia, Wolbachieae, Anaplasmataceae, Rickettsiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Acidovorax citrulli (strain AAC00-1),"Acidovorax, Comamonadaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Hordeum vulgare subsp. vulgare,"Hordeum vulgare, Hordeum, Hordeinae, Triticeae, Triticodae, Pooideae, BOP clade, Poaceae, Poales, commelinids, Petrosaviidae, Liliopsida, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Burkholderia pseudomallei (strain K96243),"pseudomallei group, Burkholderia, Burkholderiaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Synechococcus sp. (strain CC9605),"unclassified Synechococcus, Synechococcus, Synechococcaceae, Synechococcales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Oncorhynchus mykiss,"Oncorhynchus, Salmoninae, Salmonidae, Salmoniformes, Protacanthopterygii, Euteleosteomorpha, Clupeocephala, Osteoglossocephalai, Teleostei, Neopterygii, Actinopteri, Actinopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Haemophilus ducreyi (strain 35000HP / ATCC 700724),"Haemophilus, Pasteurellaceae, Pasteurellales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Heterosigma akashiwo (strain NIES-293),"Heterosigma, Chattonellaceae, Chattonellales, Raphidophyceae, Ochrophyta, Stramenopiles, Sar, Eukaryota, cellular organisms"
Carassius auratus,"Cyprinoidei intergeneric hybrids, Cyprinoidei, Cypriniformes, Cypriniphysae, Otophysi, Ostariophysi, Otomorpha, Clupeocephala, Osteoglossocephalai, Teleostei, Neopterygii, Actinopteri, Actinopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Hypocrea jecorina (strain QM6a),"Trichoderma, Hypocreaceae, Hypocreales, Hypocreomycetidae, Sordariomycetes, sordariomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Southern bean mosaic virus (isolate Bean/United States/Arkansas),"Sobemovirus, Solemoviridae, Sobelivirales, Pisoniviricetes, Pisuviricota, Orthornavirae, Riboviria, Viruses"
Pseudomonas oleovorans,"Pseudomonas oleovorans/pseudoalcaligenes group, Pseudomonas aeruginosa group, Pseudomonas, Pseudomonadaceae, Pseudomonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Acholeplasma phage L2,"Plasmavirus, Plasmaviridae, Viruses"
Canine distemper virus (strain Convac vaccine),"Canine morbillivirus, Morbillivirus, Orthoparamyxovirinae, Paramyxoviridae, Mononegavirales, Monjiviricetes, Haploviricotina, Negarnaviricota, Orthornavirae, Riboviria, Viruses"
Geotalea uraniireducens (strain Rf4),"Geotalea, Geobacteraceae, Desulfuromonadales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms"
Pyrenomonas salina,"Pyrenomonas, Pyrenomonadaceae, Pyrenomonadales, Cryptophyceae, Eukaryota, cellular organisms"
Propionigenium modestum,"Propionigenium, Fusobacteriaceae, Fusobacteriales, Fusobacteriia, Fusobacteria, Bacteria, cellular organisms"
Flavobacterium psychrophilum (strain ATCC 49511 / DSM 21280 / CIP 103535 / JIP02/86),"Flavobacterium, Flavobacteriaceae, Flavobacteriales, Flavobacteriia, Bacteroidetes, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms"
Claviceps fusiformis,"Claviceps, Clavicipitaceae, Hypocreales, Hypocreomycetidae, Sordariomycetes, sordariomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Foxtail mosaic virus,"Potexvirus, Alphaflexiviridae, Tymovirales, Alsuviricetes, Kitrinoviricota, Orthornavirae, Riboviria, Viruses"
Drosophila willistoni,"willistoni subgroup, willistoni group, Sophophora, Drosophila, Drosophilini, Drosophilinae, Drosophilidae, Ephydroidea, Acalyptratae, Schizophora, Cyclorrhapha, Eremoneura, Muscomorpha, Brachycera, Diptera, Endopterygota, Neoptera, Pterygota, Dicondylia, Insecta, Hexapoda, Pancrustacea, Mandibulata, Arthropoda, Panarthropoda, Ecdysozoa, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5),"Hyperthermus, Pyrodictiaceae, Desulfurococcales, Thermoprotei, Crenarchaeota, TACK group, Archaea, cellular organisms"
Brassica campestris,"Brassica, Brassiceae, Brassicaceae, Brassicales, malvids, rosids, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Ustilago maydis,"Ustilago, Ustilaginaceae, Ustilaginales, Ustilaginomycetes, Ustilaginomycotina, Basidiomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
African swine fever virus (isolate Tick/South Africa/Pretoriuskop Pr4/1996),"Asfivirus, Asfarviridae, Asfuvirales, Pokkesviricetes, Nucleocytoviricota, Bamfordvirae, Varidnaviria, Viruses"
Thalassiosira pseudonana,"Thalassiosira, Thalassiosiraceae, Thalassiosirales, Thalassiosirophycidae, Coscinodiscophyceae, Bacillariophyta, Ochrophyta, Stramenopiles, Sar, Eukaryota, cellular organisms"
Trachipleistophora hominis,"Trachipleistophora, Pleistophoridae, Pansporoblastina, Microsporidia, Fungi incertae sedis, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Pinus koraiensis,"Pinus subgen. Strobus, Pinus, Pinaceae, Pinales, Conifers I, Pinidae, Pinopsida, Acrogymnospermae, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Pediococcus acidilactici,"Pediococcus acidilactici group, Pediococcus, Lactobacillaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Thermodesulfovibrio yellowstonii (strain ATCC 51303 / DSM 11347 / YP87),"Thermodesulfovibrio, Thermodesulfovibrionaceae, Thermodesulfovibrionales, Thermodesulfovibrionia, Nitrospirae, Bacteria, cellular organisms"
Thermostichus vulcanus,"Thermostichus, Thermostichaceae, Thermostichales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Staphylococcus aureus (strain NCTC 8325 / PS 47),"Staphylococcus, Staphylococcaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Barley stripe mosaic virus,"Hordeivirus, Virgaviridae, Martellivirales, Alsuviricetes, Kitrinoviricota, Orthornavirae, Riboviria, Viruses"
Drosophila ananassae,"ananassae species complex, ananassae subgroup, melanogaster group, Sophophora, Drosophila, Drosophilini, Drosophilinae, Drosophilidae, Ephydroidea, Acalyptratae, Schizophora, Cyclorrhapha, Eremoneura, Muscomorpha, Brachycera, Diptera, Endopterygota, Neoptera, Pterygota, Dicondylia, Insecta, Hexapoda, Pancrustacea, Mandibulata, Arthropoda, Panarthropoda, Ecdysozoa, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Euglena myxocylindracea,"Euglena, Euglenaceae, Euglenales, Euglenophyceae, Spirocuta, Euglenida, Euglenozoa, Discoba, Eukaryota, cellular organisms"
Burkholderia pseudomallei (strain 1106a),"pseudomallei group, Burkholderia, Burkholderiaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Mastigocladus laminosus,"Mastigocladus laminosus, Mastigocladus, Hapalosiphonaceae, Nostocales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Bat coronavirus HKU9,"Bat coronavirus HKU9, Nobecovirus, Betacoronavirus, Orthocoronavirinae, Coronaviridae, Cornidovirineae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae, Riboviria, Viruses"
Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711),"Bacillus cereus group, Bacillus, Bacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
